,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
583,73571,T48201423600,Texas,TX,Harris,423600,6943,1.3,21,0.18,86.78
584,73572,T48201430101,Texas,TX,Harris,430101,2990,0.58,18,0.18,86.99
585,73573,T48201430102,Texas,TX,Harris,430102,2847,1.14,17,0.18,87.4
586,73574,T48201430200,Texas,TX,Harris,430200,1518,0.28,17,0.18,87.22
587,73575,T48201430300,Texas,TX,Harris,430300,4385,1.97,17,0.17,86.38
588,73576,T48201430400,Texas,TX,Harris,430400,3118,2.16,16,0.17,86.13
589,73577,T48201430500,Texas,TX,Harris,430500,2380,0.97,16,0.17,86.14
590,73578,T48201430600,Texas,TX,Harris,430600,3832,1.46,16,0.17,86.15
591,73579,T48201430700,Texas,TX,Harris,430700,4191,0.73,16,0.17,85.92
592,73580,T48201430800,Texas,TX,Harris,430800,6091,1.32,16,0.17,85.94
593,73581,T48201430900,Texas,TX,Harris,430900,6406,1.11,16,0.17,86.1
594,73582,T48201431001,Texas,TX,Harris,431001,2616,0.85,16,0.17,86.2
595,73583,T48201431002,Texas,TX,Harris,431002,2929,0.78,16,0.17,85.94
596,73584,T48201431101,Texas,TX,Harris,431101,4023,0.33,16,0.17,86.33
597,73585,T48201431102,Texas,TX,Harris,431102,3912,0.36,16,0.17,86.49
598,73586,T48201431203,Texas,TX,Harris,431203,2117,0.18,16,0.17,86.75
599,73587,T48201431204,Texas,TX,Harris,431204,3185,0.34,16,0.17,86
600,73588,T48201431205,Texas,TX,Harris,431205,3207,0.08,16,0.17,86.71
601,73589,T48201431206,Texas,TX,Harris,431206,1985,0.18,16,0.17,86.24
602,73590,T48201431302,Texas,TX,Harris,431302,4662,0.53,17,0.18,86.87
603,73591,T48201431303,Texas,TX,Harris,431303,2019,0.11,17,0.17,86.35
604,73592,T48201431304,Texas,TX,Harris,431304,3195,0.17,17,0.17,86.4
605,73593,T48201431401,Texas,TX,Harris,431401,2228,0.14,17,0.18,87.47
606,73594,T48201431403,Texas,TX,Harris,431403,1504,0.13,17,0.18,87.62
607,73595,T48201431404,Texas,TX,Harris,431404,2166,0.15,17,0.18,87.49
608,73596,T48201431503,Texas,TX,Harris,431503,1591,0.12,16,0.17,86.33
609,73597,T48201431504,Texas,TX,Harris,431504,2396,0.31,17,0.18,86.85
610,73598,T48201431505,Texas,TX,Harris,431505,1603,0.12,17,0.18,87.01
611,73599,T48201431506,Texas,TX,Harris,431506,2822,0.28,17,0.18,87.48
612,73600,T48201431600,Texas,TX,Harris,431600,3493,1.15,17,0.18,86.82
613,73601,T48201431701,Texas,TX,Harris,431701,2454,0.37,17,0.18,87.08
614,73602,T48201431702,Texas,TX,Harris,431702,2847,0.77,17,0.18,87.35
615,73603,T48201431801,Texas,TX,Harris,431801,3531,0.48,17,0.18,86.99
616,73604,T48201431803,Texas,TX,Harris,431803,2597,0.13,17,0.18,87.54
617,73605,T48201431804,Texas,TX,Harris,431804,2690,0.42,17,0.18,87.31
618,73606,T48201431901,Texas,TX,Harris,431901,2390,0.14,17,0.18,87.34
619,73607,T48201431902,Texas,TX,Harris,431902,2963,0.36,17,0.18,87.34
620,73608,T48201432003,Texas,TX,Harris,432003,2066,0.14,17,0.18,87.71
621,73609,T48201432004,Texas,TX,Harris,432004,2273,0.42,17,0.18,87.51
622,73610,T48201432005,Texas,TX,Harris,432005,2740,0.14,17,0.18,86.86
623,73611,T48201432006,Texas,TX,Harris,432006,2025,0.14,17,0.17,86.47
624,73612,T48201432101,Texas,TX,Harris,432101,2907,0.22,16,0.17,86.06
625,73613,T48201432102,Texas,TX,Harris,432102,3704,0.4,16,0.17,86.46
626,73614,T48201432200,Texas,TX,Harris,432200,4232,0.65,16,0.17,86.41
627,73615,T48201432301,Texas,TX,Harris,432301,2858,0.17,16,0.17,86.44
628,73616,T48201432302,Texas,TX,Harris,432302,2241,0.1,16,0.17,86.48
629,73617,T48201432303,Texas,TX,Harris,432303,2221,0.42,16,0.17,86.15
630,73618,T48201432401,Texas,TX,Harris,432401,3632,0.28,16,0.17,86.41
631,73619,T48201432402,Texas,TX,Harris,432402,2482,0.43,16,0.17,86.19
632,73620,T48201432501,Texas,TX,Harris,432501,3801,0.36,16,0.17,86.37
633,73621,T48201432502,Texas,TX,Harris,432502,1765,0.29,16,0.17,85.95
634,73622,T48201432600,Texas,TX,Harris,432600,1867,0.63,16,0.17,86.23
635,73623,T48201432703,Texas,TX,Harris,432703,2057,0.18,17,0.18,87.98
636,73624,T48201432704,Texas,TX,Harris,432704,1724,0.27,17,0.18,87.42
637,73625,T48201432705,Texas,TX,Harris,432705,4271,0.18,17,0.17,86.75
638,73626,T48201432706,Texas,TX,Harris,432706,1962,0.26,17,0.18,86.56
639,73627,T48201432803,Texas,TX,Harris,432803,3174,0.13,19,0.17,86.71
640,73628,T48201432804,Texas,TX,Harris,432804,1955,0.76,20,0.17,85.79
641,73629,T48201432805,Texas,TX,Harris,432805,2017,0.34,19,0.17,86.2
642,73630,T48201432806,Texas,TX,Harris,432806,4345,0.16,19,0.17,86.72
643,73631,T48201432901,Texas,TX,Harris,432901,3161,0.57,19,0.17,85.93
644,73632,T48201432903,Texas,TX,Harris,432903,2196,0.15,19,0.17,86.72
